RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Avenida Itacira,04061000,1000,4,8,6,7000000
Rua Aurelia Perez Alvarez,04642020,524,6,6,4,3700000
Rua Alba Valdez,04845200,125,4,3,2,380000
Jardim Morumbi,05693000,310,3,2,4,685000
Rua Tobias Barreto,03176000,100,3,2,2,540000
Rua Graham Bell,04737030,440,4,4,6,1980000
Rua Francisco Paulo,03306050,145,4,4,2,850000
Rua Guilherme Valente,05818280,150,2,2,2,450000
Rua Sagrada Família,08140520,50,2,1,1,199900
Rua Tapaji,03207050,114,3,3,2,585000
Rua Vigário João Álvares,01551040,261,4,4,3,700000
Jardim Luzitânia,04030000,436,4,3,3,15000
Rua Tuim,04514100,193,3,3,2,2500000
Rua Antônio Pereira Mendes,04648235,251,3,5,4,1700000
Rua João Antunes Carvalho,02435100,300,4,5,4,1150000
Rua Timbé,03576070,135,3,3,2,550000
Rua João Tauler,03288050,180,4,2,4,420000
Rua Alice Garcia Vega,02737050,300,3,5,4,2232000
Rua Graham Bell,04737030,772,7,7,6,2700000
Avenida Antônio Joaquim de Moura Andrade,04507000,605,3,3,4,4190000
Rua Marcos Fernandes,04149120,110,3,2,5,860000
Rua José Leão dos Santos,08032280,250,4,4,4,650000
Rua Jaime Pinto Ferreira,02308150,120,2,1,1,490000
Rua Aldo de Azevedo,05453030,170,2,2,1,1485000
Rua Antônio Wey,05364110,250,3,1,5,650000
Rua João Francisco de Moura,04455170,110,3,3,2,550000
Rua Serra de Botucatu,03317000,120,3,2,2,1100000
Rua Andrade Neves,05087020,502,4,6,4,2985000
Rua Japeacaba,02373050,268,3,6,4,1700000
Rua Senador Vergueiro,04739060,355,4,7,4,3100000
Rua dos Plátanos,05675110,1195,4,4,6,8700000
Parque da Lapa,05301100,220,4,4,3,849000
Rua Domingos Menezes,03738060,320,5,4,6,890000
Rua Manuel Monteiro,04387150,180,3,3,4,550000
Rua Serra da Sentinela,03531050,325,4,6,3,1650000
Avenida Maria Estela,04180010,110,2,1,1,445000
