Preco Atual,Preco previsto pela regressao
1380000,1372500
740000,1170000
1200000,1672500
370000,1016500
1810000,1106500
980000,1636250
420000,2990000
490000,717500
1450000,1523000
800000,817000
5500000,3027500
1045000,1790000
5200000,3525000
3000000,1397500
1900000,2216250
330000,776250
695000,1077250
2500000,3237500
636000,827501
5200000,3887500
4350000,3157500
960000,1282500
595000,1087500
750000,1259500
7000000,5312500
650000,585000
565000,626250
540000,882500
2900000,1825000
470000,863750
500000,1187500
2850000,2037500
1450000,2675000
600000,597500
3700000,4097250
1400000,930000
445000,729349
580000,1346250
1500000,1825000
3290000,2737500
2900000,3150000
1600000,1450000
2800000,2216250
650000,979750
1500000,1705000
920000,1187500
425000,1127000
1578010,2059200
990000,1032500
3950000,3798750
1500000,1146750
720000,766200
1200000,1220000
1600000,2075000
4250000,3700000
280000,562000
850001,678000
2700000,2425000
1400000,1259500
1600000,2572500
1800000,1612500
790000,3366250
2200000,2270000
5000000,4275000
800000,1357500
650000,1161250
5500000,3512500
880000,1131725
590000,1058749
600000,612250
1850000,2021750
1300000,1300000
3200000,3525000
450000,996250
2240000,2224500
3900000,3337500
4200000,5048750
820000,600250
1600000,991500
6000000,4275000
2000000,1360000
2100000,2770000
4500000,3950000
1908000,992500
405000,499450
5500000,3610000
4000000,3775000
1500000,829750
870000,882500
1300000,2334000
2790000,3750000
1490000,949750
462770,621250
4100000,3910025
5500000,4462500
5000000,3625000
980000,820000
1100000,2097500
1900000,1170000
2400000,3962500
3480000,3237500
1800000,2162500
1920000,1557500
3500000,2397500
2239369,3257500
590000,1117500
5500000,4512500
650000,1467000
750000,691250
4255000,2850000
450000,1102500
950000,887500
470000,882500
1600000,1932500
693000,722500
5500000,4512500
3200000,3027500
495000,463750
6500000,4975000
2500000,3570000
995000,843747
4280000,3320000
4500000,3080000
890000,442499
2200000,2022500
1950000,1152150
550000,837500
2000000,1961250
3000000,1772750
1650000,1545000
2820000,3512500
700000,882500
2200000,725500
1200000,1753000
780000,674000
822000,615350
850000,861250
4800000,4500000
2500000,2718750
1400000,1212500
850000,1850000
640000,1925000
3000000,3850000
320000,3490000
5500000,4150000
5500000,4362500
1100000,1282500
1300000,1340500
1580000,2435000
2660000,1825000
2300000,2216250
949000,1535000
2200000,4650000
3000000,4650000
1650000,556250
1500000,1257500
395000,2475000
300000,370000
700000,2600000
600000,1137500
200000,432000
810000,904750
750000,2713779
1700000,2405000
530000,569497
1700000,1546250
2900000,1923750
4500000,3537500
1250000,1367500
460000,851250
4900000,4525000
1200000,871250
480000,750000
2900000,2447500
4949000,3997500
690000,710000
1500000,2596250
2000000,1700000
500000,1627500
843000,1354750
850000,861250
670000,752000
1600000,1259500
1300000,1528750
2750000,2120750
500000,645000
2950000,1961250
1800000,2030000
2950000,3570000
2500000,2712500
1995000,1895000
950000,1177500
4500000,3512500
711000,922500
2700000,2015750
1500000,1584500
850000,1471650
1350000,1595000
3191489,3883500
320000,463750
799000,899750
5400000,4750000
6800000,4425000
640000,618750
950000,871250
690000,1035000
1230000,1412475
3100000,2662500
1500000,1374092
550000,465000
2700000,2900000
2700000,2700000
685000,782500
770000,1041250
360000,743250
999999,1300000
1389000,1422500
880000,2462000
1000000,443750
680000,1187500
1000000,452775
1650000,2362500
430000,996250
2350000,3570000
3200000,2562500
2500000,2037500
650000,692500
1590000,1695000
2600000,2167500
3200000,1282500
550000,978750
3600000,2927500
430000,642000
700000,586250
2350000,1771750
1200000,1286250
257600,554750
3000000,2515000
5300000,5350000
2200000,1825000
1500000,1238000
1280000,2087500
620000,799500
980000,652500
5950000,5825000
3700000,2417500
795000,777500
5900000,5325000
2800000,1034500
990000,1108750
790000,1375000
650000,977250
2600000,2887500
1600000,1875000
1200000,1557500
4800000,3337500
2300000,4812500
945000,979750
2500000,3750000
3500000,2725000
365000,725750
1250000,1038750
3900000,3900000
690000,657500
2500000,1825000
850000,1400000
1950000,1900000
2500000,2957500
3800000,3960000
3600000,3737500
1280000,1132250
367929,1348750
1280000,2199950
2300000,1236250
598000,745000
850000,616558
980000,1307500
2600000,2216250
2500000,3237500
980000,1144750
685000,601250
1700000,1307500
2300000,2920000
1171000,856250
1500000,1625000
3350000,3800000
2300000,3135000
1490000,1093000
2200000,4085000
950000,1027500
2500000,3987500
600000,513750
2500000,3437500
7000000,4512500
1400000,1117500
795000,858500
2000000,3750000
2900000,2256250
222950,565001
1590000,990500
980000,888750
2050000,1772500
530000,956250
580000,705300
1300000,943750
430000,602750
350000,537000
1270000,1925000
660000,605000
4000000,3350000
2650000,3525000
1650000,1917500
2800000,3627500
958000,1257500
1300000,1712500
850000,990000
595000,804500
6600000,5275000
800000,1247500
950000,1220000
5250000,4537500
1100000,787500
2900000,2193750
690000,468750
2500000,1732500
920000,1076250
2850000,2825000
2250000,1436000
2550000,2149092
2100000,2037500
1600000,2250000
3300000,3200000
1000000,2468750
1010000,664500
2100000,1996500
1500000,1161250
2150000,880000
1920000,4425000
430000,537000
480000,725000
3672500,3910025
1100000,1266002
2000000,2392500
1500000,1282500
130000,595000
2600000,2262500
4500000,3400000
692000,1162250
1200000,1111250
3300000,1775000
1700000,3350000
900000,1286250
450000,443750
980000,802500
790000,1041250
1070000,1144750
6200000,5000000
2230000,3175000
750000,1020000
3600000,5125000
1200000,858225
1950000,3362500
3500000,2996675
1200000,678750
999000,1175000
1400000,1457500
1000000,1100000
840000,713000
3000000,5100000
680000,907500
6400000,3187500
980000,664500
6000000,4650000
890000,996250
2200000,914000
2300000,1238000
2200000,1825000
1395000,1383500
1290000,1397500
1090000,930000
1200000,1471250
850000,795500
645000,886251
2500000,1250000
5500000,2015750
2495000,4100000
1500000,619750
1500000,835500
550000,1507500
2650000,3050000
6000000,2957500
2100000,2125000
5300000,4737500
300004,422500
1900000,1225000
3500000,342400
690000,1212000
3900000,3900000
1300000,1345000
6863720,5285796
650000,464753
900000,979750
600000,496250
790000,978750
490000,857497
760000,1017500
1100000,4097500
2650000,3000000
3200000,4785000
3180000,3905000
1270000,1349750
2300000,3137500
741000,500000
1390000,2162500
1000000,1436000
640000,833750
3800000,3337500
2200000,1225000
895000,1457500
970000,1600000
1930000,1765000
1800000,1760000
2800000,4800000
809000,602250
7000000,3862500
486000,871250
450000,458750
1650000,2112500
900000,866500
580000,506250
466000,690000
1400000,1172500
7000000,4957500
545000,1702268
2130000,1616000
640000,1016750
4200000,4687500
1705000,1528750
1030000,1161250
1100000,1226250
3500000,4412500
695000,976500
750000,1636250
810000,917250
1450000,1630000
900000,1187500
3845000,1647500
3200000,4187500
350000,1042775
860000,1053500
1400000,1087500
790000,1067500
750000,1595000
2450000,2900000
5100000,5175000
2500000,2640000
750000,626250
600000,2245000
1300000,975000
4500000,4957500
3200000,3129750
670000,880000
5800000,3872500
900000,795500
3800000,5098750
1100000,2087500
480000,902000
800000,1273750
3950000,5125000
300000,465000
1696000,1383500
550000,554750
650000,642250
650000,979750
370000,717500
2200000,1282500
2100000,3562500
1700000,1152150
890000,1137500
830000,503500
660000,544725
950000,1128707
798000,1086000
880000,980500
750000,1395000
791000,1472500
3980000,4760000
1500000,1523000
600000,2425000
4600000,4300000
1050000,922500
4500000,2787500
870000,1815000
1500000,1917500
5500000,4800000
598000,690000
1650000,2347500
426000,620000
650000,1060250
742000,805562
1900000,1900000
1279000,829750
1150000,887500
