Preco Atual,Preco previsto pela regressao
1380000,1236068
740000,607317
1200000,1996056
370000,670913
1810000,1159445
980000,1046533
420000,439802
490000,966454
1450000,2288322
800000,1169321
5500000,2908171
1045000,1137992
5200000,2741734
3000000,2544680
1900000,1057352
330000,584519
695000,1093461
2500000,2295516
636000,1299484
5200000,3124466
4350000,2572862
960000,1121217
595000,1251190
750000,709690
7000000,2882607
650000,1277805
565000,824577
540000,576124
2900000,2441638
470000,893386
500000,529186
2850000,2593909
1450000,1914794
600000,755178
3700000,4089910
1400000,798365
445000,766933
580000,864932
1500000,1747140
3290000,4046961
2900000,2449853
1600000,1159238
2800000,2084557
650000,1846541
1500000,1438116
920000,1172853
425000,691142
1578010,1436202
990000,2077320
3950000,1888896
1500000,1497017
720000,776029
1200000,1713564
1600000,1774052
4250000,2742261
280000,61463
850001,934416
2700000,3537023
1400000,879415
1600000,2894613
1800000,2325581
790000,1551006
2200000,2532010
5000000,2408252
800000,1379171
650000,1376611
5500000,4486755
880000,1105511
590000,724493
600000,469340
1850000,3088800
1300000,1572362
3200000,2667957
450000,1278129
2240000,1802677
3900000,3592388
4200000,3799889
820000,1224509
1600000,2296152
6000000,2365695
2000000,1804000
2100000,1081896
4500000,4611936
1908000,2478756
405000,988822
5500000,5052027
4000000,3891475
1500000,862109
870000,1227237
1300000,1990983
2790000,2050294
1490000,1690479
462770,1208187
4100000,3004588
5500000,2598858
5000000,4532521
980000,1743290
1100000,1372260
1900000,1401370
2400000,2636813
3480000,2535675
1800000,2003752
1920000,1829182
3500000,2749329
2239369,2335732
590000,535268
5500000,3297973
650000,714237
750000,962790
4255000,1841262
450000,690700
950000,1198156
470000,637287
1600000,747510
693000,1086986
5500000,3664803
3200000,2456672
495000,498487
6500000,2662090
2500000,1024547
995000,1067871
4280000,2903361
4500000,3456476
890000,2591725
2200000,1953800
1950000,1864780
550000,1026912
2000000,1586783
3000000,2967673
1650000,2088153
2820000,4247089
700000,1025702
2200000,1538032
1200000,1652479
780000,1037179
822000,1866392
850000,1366321
4800000,3652893
2500000,3050022
1400000,1666259
850000,2017148
640000,1087222
3000000,2707326
320000,-101784
5500000,3299318
5500000,3420998
1100000,1732545
1300000,1005906
1580000,3270483
2660000,2710813
2300000,974825
949000,1392456
2200000,4475322
3000000,4677105
1650000,2353583
1500000,1736971
395000,597995
300000,324285
700000,1495093
600000,1154981
200000,-135184
810000,870793
750000,2873552
1700000,651737
530000,1063693
1700000,1741643
2900000,1386663
4500000,3556540
1250000,770747
460000,774073
4900000,3049897
1200000,1493600
480000,1596361
2900000,2589567
4949000,2836677
690000,970606
1500000,823894
2000000,1331844
500000,663507
843000,2398490
850000,1065896
670000,747806
1600000,1209716
1300000,3125600
2750000,2778461
500000,991486
2950000,2801294
1800000,1739731
2950000,1325801
2500000,1973308
1995000,1378223
950000,1836525
4500000,3464269
711000,1295277
2700000,1979234
1500000,1648078
850000,1112190
1350000,942193
3191489,2203133
320000,1918957
799000,1023081
5400000,3988603
6800000,3644258
640000,809034
950000,1588425
690000,1913739
1230000,1825673
3100000,2958746
1500000,2167683
550000,1194329
2700000,3764648
2700000,2378875
685000,1020874
770000,1079148
360000,664387
999999,2116084
1389000,2314718
880000,417012
1000000,2511880
680000,307647
1000000,1057988
1650000,692987
430000,1162911
2350000,1377665
3200000,2885932
2500000,2006449
650000,614916
1590000,1938408
2600000,3911150
3200000,2151854
550000,658770
3600000,3746297
430000,354343
700000,1300128
2350000,2572055
1200000,781661
257600,257425
3000000,3560466
5300000,2904638
2200000,2309638
1500000,1828684
1280000,1474703
620000,1101717
980000,2768429
5950000,3653390
3700000,4133668
795000,2098575
5900000,4040856
2800000,907424
990000,1891365
790000,951350
650000,988589
2600000,3718623
1600000,2193589
1200000,1843598
4800000,3622581
2300000,4178105
945000,2046241
2500000,3367748
3500000,2910834
365000,488980
1250000,1404020
3900000,2295094
690000,1269851
2500000,2268196
850000,853169
1950000,2565872
2500000,2909093
3800000,2862879
3600000,2594886
1280000,1485603
367929,605825
1280000,1142298
2300000,4455692
598000,1230201
850000,854286
980000,2120007
2600000,1404370
2500000,2463363
980000,1177897
685000,608155
1700000,2753693
2300000,4437363
1171000,1902228
1500000,1706287
3350000,2519098
2300000,2552765
1490000,1731061
2200000,4646213
950000,2067759
2500000,4443813
600000,839330
2500000,2655696
7000000,4476716
1400000,1148157
795000,789284
2000000,2671825
2900000,3006606
222950,805318
1590000,1745081
980000,814843
2050000,2215683
530000,785442
580000,1000592
1300000,1614876
430000,1209292
350000,537784
1270000,1579481
660000,1173574
4000000,3379071
2650000,3359702
1650000,2502205
2800000,1725939
958000,2189554
1300000,2472341
850000,744477
595000,478442
6600000,3191353
800000,975250
950000,1285182
5250000,1936982
1100000,1074629
2900000,2723892
690000,1215338
2500000,2658646
920000,1407908
2850000,1418383
2250000,2248917
2550000,3176960
2100000,2128725
1600000,2337650
3300000,2264151
1000000,844904
1010000,1669147
2100000,2635589
1500000,1685330
2150000,2149155
1920000,2831639
430000,485482
480000,965887
3672500,2691686
1100000,1455759
2000000,2430582
1500000,1395503
130000,575443
2600000,3042427
4500000,3089721
692000,1035614
1200000,1141116
3300000,3139755
1700000,3036670
900000,1152896
450000,225086
980000,1242544
790000,1323701
1070000,1177897
6200000,4520127
2230000,2006006
750000,1461202
3600000,2718848
1200000,1866866
1950000,3522771
3500000,3709445
1200000,1805488
999000,716530
1400000,1745015
1000000,1899746
840000,1834888
3000000,4455551
680000,953594
6400000,3381643
980000,1972227
6000000,4392585
890000,2049992
2200000,2873565
2300000,1914713
2200000,2554191
1395000,2481073
1290000,1971373
1090000,1035954
1200000,1067650
850000,1673919
645000,927350
2500000,2749582
5500000,4357641
2495000,4284882
1500000,2303222
1500000,1367386
550000,712625
2650000,4107444
6000000,3040845
2100000,2516593
5300000,3256431
300004,437327
1900000,1861250
3500000,2404925
690000,651756
3900000,2539647
1300000,1934824
6863720,3467152
650000,502414
900000,1224079
600000,781853
790000,906798
490000,744374
760000,881822
1100000,1572098
2650000,3333483
3200000,3274892
3180000,2948073
1270000,1156410
2300000,3521349
741000,1239852
1390000,1916978
1000000,1441830
640000,1866290
3800000,3570992
2200000,1310284
895000,824550
970000,1073207
1930000,1772464
1800000,1541351
2800000,2060162
809000,1040855
7000000,2132612
486000,2201065
450000,795161
1650000,1186851
900000,1326631
580000,1163091
466000,733060
1400000,3418647
